0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
10,36,41,51,51,36,50,47,58,58,60,53,47,38,54
10,22,30,49,57,53,48,48,46,54,61,53,38,37,49
10,25,30,57,55,38,37,37,45,43,44,42,48,42,46
10,12,13,18,36,34,31,27,25,23,25,35,26,38,39
10,10,11,9,22,12,9,15,31,19,31,29,57,45,53
10,10,18,51,42,61,66,76,74,69,75,50,51,51,61
10,20,35,50,56,60,56,50,54,42,45,46,42,34,54
10,28,50,64,84,67,69,68,49,59,46,51,45,51,36
10,18,17,26,29,40,55,47,69,31,29,30,51,47,30
10,44,41,49,42,45,41,53,42,39,50,35,45,42,42
10,21,29,35,48,42,45,59,59,41,55,50,46,22,23
10,17,8,13,12,17,25,32,37,45,63,60,56,62,60
