0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
10,19,47,43,55,48,47,48,49,46,43,37,35,49,36
10,46,68,65,57,60,40,54,49,49,40,47,44,39,39
10,46,47,49,50,50,51,43,40,38,41,41,42,35,43
10,16,8,12,16,31,47,61,41,46,44,46,41,44,32
10,9,9,13,10,53,48,70,73,52,53,68,41,36,38
10,11,37,45,51,52,58,52,46,44,42,42,41,42,37
10,55,56,79,64,64,69,67,48,48,60,55,57,43,38
10,38,27,50,52,57,51,38,37,36,45,38,42,39,46
10,40,53,55,60,59,44,39,44,60,42,48,39,40,67
10,23,57,53,67,54,51,45,48,50,50,38,72,50,50
10,16,17,54,58,42,50,56,42,55,32,50,42,43,32
10,27,20,65,49,57,74,58,70,84,45,43,44,45,43
10,9,7,18,57,71,56,56,61,59,48,56,56,55,31
10,21,15,46,51,55,43,55,48,70,36,54,36,37,60
10,59,76,61,79,53,52,50,53,65,54,42,49,36,35
10,24,11,63,37,50,38,69,59,55,43,51,49,48,43
