0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
5,4,37,38,49,42,42,42,47,42,35,34,33,44,36
5,10,37,50,49,53,36,45,46,48,33,44,43,37,36
5,17,34,43,45,44,48,41,40,37,40,40,38,32,40
5,4,2,3,6,26,46,58,37,41,42,42,37,41,31
5,2,2,1,3,35,39,67,68,44,52,63,41,35,36
5,5,26,36,43,43,53,51,39,39,38,38,39,42,37
5,32,49,69,59,62,60,61,46,42,59,46,45,38,34
5,9,17,49,49,51,47,37,34,34,41,35,40,39,43
5,21,46,51,50,54,43,39,42,58,40,37,39,39,65
5,8,41,44,61,52,49,42,44,48,47,38,69,47,50
5,3,3,44,56,42,45,52,39,44,28,45,37,37,32
5,14,5,40,44,55,73,55,68,72,43,42,36,34,33
5,3,2,6,38,61,50,54,53,54,44,50,48,49,31
5,6,8,40,46,48,35,50,42,66,36,49,33,31,49
5,19,62,51,73,45,44,45,44,47,41,36,45,34,33
5,4,3,39,36,46,35,67,57,53,42,51,49,47,42
