0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
10,7,17,42,47,31,47,40,53,53,58,53,45,40,51
10,5,15,31,51,48,48,44,43,47,54,52,37,34,51
10,7,9,26,36,35,37,31,47,38,43,41,45,43,42
10,2,6,12,24,34,30,28,24,21,26,34,28,34,49
10,2,4,3,12,9,10,13,22,15,26,27,52,43,51
10,2,5,30,34,47,45,73,69,64,74,52,53,46,60
10,2,30,48,55,56,55,48,54,41,44,45,40,36,55
10,9,19,20,65,64,65,68,45,62,47,62,54,55,35
10,2,3,14,27,37,46,45,64,33,26,31,49,42,31
10,12,36,51,41,45,40,50,39,39,52,35,45,41,41
10,3,5,15,39,34,43,57,45,40,57,48,43,17,19
10,2,3,2,12,9,16,25,29,37,58,50,52,56,50
