0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
5,2,9,20,30,16,30,27,28,30,28,30,24,30,30
5,5,4,11,20,23,23,21,25,24,21,28,19,20,28
5,3,3,16,21,21,28,23,33,28,30,31,30,31,30
5,1,5,6,15,18,16,15,12,10,16,20,17,16,31
5,1,2,1,11,6,5,4,13,6,13,10,27,30,32
5,1,4,15,12,27,21,28,26,31,33,31,30,30,27
5,2,11,31,30,30,30,30,30,30,30,30,31,19,31
5,6,11,18,28,31,30,31,30,30,30,30,30,31,30
5,1,3,7,12,18,21,22,29,15,10,19,23,22,19
5,6,23,31,30,31,30,30,30,31,31,30,30,30,30
5,2,4,6,14,15,15,24,16,12,18,20,12,7,8
5,1,3,2,7,5,6,15,13,20,26,25,31,30,30
