0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
10,6,38,38,49,42,42,42,51,44,38,35,34,44,37
10,10,37,53,51,53,36,45,47,48,33,47,46,43,39
10,18,34,44,46,44,48,43,40,37,41,41,38,31,46
10,4,2,3,5,32,50,70,41,41,42,46,38,41,36
10,2,2,1,2,37,45,72,72,44,54,64,43,38,37
10,5,29,36,46,43,54,51,40,41,38,37,41,45,36
10,40,50,69,59,62,60,61,47,42,65,46,53,42,36
10,9,18,53,55,53,48,36,37,34,41,36,40,38,44
10,22,46,51,53,54,43,39,41,64,48,39,39,40,69
10,7,42,46,61,52,50,42,44,53,50,38,71,47,51
10,3,6,45,56,46,46,53,41,44,29,48,37,37,32
10,13,6,42,46,55,73,54,70,76,42,49,45,34,34
10,4,2,5,40,61,51,54,54,57,45,50,49,49,33
10,7,7,43,46,48,36,52,41,70,37,48,36,31,49
10,21,62,50,74,46,46,45,45,47,41,35,46,37,33
10,5,3,41,36,53,35,69,58,53,44,51,51,47,42
