0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
5,3,26,30,30,30,30,30,30,31,31,30,30,30,30
5,9,23,28,31,30,30,30,30,30,25,30,30,31,30
5,11,16,23,29,26,28,27,28,30,30,28,30,26,30
5,1,2,1,4,18,21,31,31,30,30,30,30,32,31
5,1,1,1,1,19,21,31,29,30,30,34,30,30,30
5,3,13,26,31,32,30,38,30,30,30,31,33,30,30
5,13,29,30,30,32,30,38,32,30,37,30,30,31,31
5,9,5,28,31,31,30,30,31,30,30,30,30,30,32
5,11,30,26,31,30,30,31,30,41,30,30,31,30,50
5,4,29,31,32,30,30,30,30,30,30,30,50,35,40
5,1,3,23,30,27,32,32,31,30,20,31,30,30,30
5,8,5,19,31,30,30,35,31,38,30,31,31,30,30
5,3,1,2,22,30,30,30,31,30,30,30,30,30,31
5,4,4,31,30,30,24,30,30,45,30,37,31,30,39
5,8,30,30,42,31,36,30,31,36,35,30,41,31,30
5,3,2,23,30,30,30,40,41,40,30,30,30,30,30
