,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,5,9,25,62,76,47,77,68,79,83,85,82,68,68,81
1,5,10,19,42,72,70,69,65,68,71,75,80,56,55,77
2,5,7,12,40,58,55,64,53,78,67,71,70,76,72,72
3,5,3,12,18,37,50,47,41,36,32,41,53,43,51,69
4,5,3,5,4,24,14,13,17,35,21,39,37,79,74,81
5,5,3,10,43,47,72,66,98,96,94,105,81,80,76,86
6,5,4,38,77,82,84,85,77,84,71,74,75,72,52,84
7,5,15,23,37,87,92,95,96,75,86,76,81,75,78,63
8,5,3,6,22,37,54,68,65,94,46,37,49,70,65,49
9,5,18,58,79,72,74,70,80,70,69,80,65,74,70,70
10,5,5,9,22,52,48,57,80,60,51,72,67,51,25,26
11,5,3,7,12,17,19,22,27,57,97,130,173,243,241,242
