,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,10,43,58,93,98,67,97,87,111,111,118,106,92,78,105
1,10,27,45,80,108,101,96,92,89,101,115,105,75,71,100
2,10,32,39,83,91,73,74,68,92,81,87,83,93,85,88
3,10,14,19,30,60,68,61,55,49,44,51,69,54,72,88
4,10,12,15,12,34,21,19,28,53,34,57,56,109,88,104
5,10,12,23,81,76,108,111,149,143,133,149,102,104,97,121
6,10,22,65,98,111,116,111,98,108,83,89,91,82,70,109
7,10,37,69,84,149,131,134,136,94,121,93,113,99,106,71
8,10,20,20,40,56,77,101,92,133,64,55,61,100,89,61
9,10,56,77,100,83,90,81,103,81,78,102,70,90,83,83
10,10,24,34,50,87,76,88,116,104,81,112,98,89,39,42
11,10,10,16,24,34,45,56,65,111,169,217,279,370,368,369
